x,y,Uncertainty
8.86,40.42,4.0
19.03,104.83,4.0
10.66,55.48,4.0
6.27,34.17,4.0
4.07,20.86,4.0
19.71,103.02,4.0
9.36,58.21,4.0
14.06,71.14,4.0
3.09,27.19,4.0
14.62,73.08,4.0
13.21,63.48,4.0
14.73,76.97,4.0
18.13,90.51,4.0
15.87,90.23,4.0
7.9,38.88,4.0
18.44,93.95,4.0
0.82,2.15,4.0
15.89,76.01,4.0
16.76,92.83,4.0
10.84,60.17,4.0
12.61,63.26,4.0
19.45,101.71,4.0
7.95,47.03,4.0
10.07,55.24,4.0
9.6,48.07,4.0
14.2,76.08,4.0
0.35,6.77,4.0
1.27,1.37,4.0
2.34,15.75,4.0
16.62,83.64,4.0
6.12,35.25,4.0
12.27,61.06,4.0
11.07,56.39,4.0
15.74,82.15,4.0
16.49,86.61,4.0
16.38,84.79,4.0
1.13,11.99,4.0
17.81,88.61,4.0
19.04,93.92,4.0
4.42,30.12,4.0
15.5,82.21,4.0
8.3,42.92,4.0
9.27,45.23,4.0
13.63,72.95,4.0
18.66,97.38,4.0
17.15,90.77,4.0
19.16,94.89,4.0
12.67,66.4,4.0
1.33,9.59,4.0
17.43,88.58,4.0
7.22,35.27,4.0
12.79,64.75,4.0
18.15,86.72,4.0
10.14,53.69,4.0
17.18,87.74,4.0
19.94,101.26,4.0
19.97,97.79,4.0
5.93,33.3,4.0
5.06,31.85,4.0
4.36,20.89,4.0
9.33,51.53,4.0
17.53,86.91,4.0
8.77,47.84,4.0
4.31,18.93,4.0
9.87,53.08,4.0
18.5,97.15,4.0
2.26,20.41,4.0
7.73,41.16,4.0
7.97,38.21,4.0
6.16,34.16,4.0
1.1,7.67,4.0
4.23,24.44,4.0
18.74,101.38,4.0
4.81,19.31,4.0
0.3,9.55,4.0
8.52,45.06,4.0
12.43,61.24,4.0
7.22,33.75,4.0
19.18,97.01,4.0
3.04,23.42,4.0
19.03,101.58,4.0
9.57,48.33,4.0
16.15,85.38,4.0
12.66,77.68,4.0
3.59,18.45,4.0
0.74,8.12,4.0
18.93,98.23,4.0
17.8,95.32,4.0
14.62,81.33,4.0
9.17,45.18,4.0
8.4,47.86,4.0
16.78,94.08,4.0
9.68,53.64,4.0
8.05,45.78,4.0
7.61,42.02,4.0
18.93,95.2,4.0
13.06,71.88,4.0
3.39,14.92,4.0
14.78,72.37,4.0
7.6,38.6,4.0
16.14,80.46,4.0
7.45,37.31,4.0
4.14,19.57,4.0
9.81,52.05,4.0
3.85,25.76,4.0
3.69,19.17,4.0
6.02,35.21,4.0
11.84,65.02,4.0
9.92,51.13,4.0
18.33,94.07,4.0
12.94,68.21,4.0
2.61,23.35,4.0
16.29,80.0,4.0
4.26,33.0,4.0
0.83,6.09,4.0
6.99,38.46,4.0
13.95,73.38,4.0
5.26,22.47,4.0
6.4,37.53,4.0
19.16,104.81,4.0
19.68,101.38,4.0
12.73,69.87,4.0
15.06,77.73,4.0
19.24,97.58,4.0
16.5,78.24,4.0
4.4,24.17,4.0
4.76,23.87,4.0
6.21,32.7,4.0
19.61,100.01,4.0
12.78,73.89,4.0
18.1,89.17,4.0
0.27,1.34,4.0
15.33,70.58,4.0
0.09,17.43,4.0
0.87,4.58,4.0
0.1,10.18,4.0
4.14,22.3,4.0
6.59,44.69,4.0
19.19,98.81,4.0
18.18,88.92,4.0
11.69,62.14,4.0
16.23,77.46,4.0
0.64,9.16,4.0
15.12,74.97,4.0
1.68,19.67,4.0
3.53,21.53,4.0
18.6,100.74,4.0
5.2,28.58,4.0
15.92,79.9,4.0
10.59,63.46,4.0
14.03,74.41,4.0
13.81,73.93,4.0
9.53,55.59,4.0
14.38,75.49,4.0
5.14,27.16,4.0
6.44,35.76,4.0
15.98,82.26,4.0
1.01,7.38,4.0
5.27,28.33,4.0
4.16,25.5,4.0
4.45,23.05,4.0
13.24,65.63,4.0
2.46,14.63,4.0
7.88,39.32,4.0
12.25,54.42,4.0
6.41,33.09,4.0
6.31,35.38,4.0
12.13,64.06,4.0
16.66,79.68,4.0
8.34,42.61,4.0
0.97,2.26,4.0
17.69,93.52,4.0
17.38,89.35,4.0
7.35,32.31,4.0
12.7,61.36,4.0
9.08,43.01,4.0
14.24,71.25,4.0
2.59,24.33,4.0
1.75,10.0,4.0
19.13,96.27,4.0
17.54,92.84,4.0
3.12,10.53,4.0
3.06,17.41,4.0
7.52,42.3,4.0
2.52,23.56,4.0
17.5,90.81,4.0
18.18,98.13,4.0
1.08,4.98,4.0
18.61,91.97,4.0
17.55,89.54,4.0
16.57,80.1,4.0
13.22,70.72,4.0
2.74,14.87,4.0
8.15,42.03,4.0
18.82,99.35,4.0
6.32,25.97,4.0
2.9,16.82,4.0
3.36,16.36,4.0
10.57,49.11,4.0
0.38,14.11,4.0
13.55,67.89,4.0
2.19,10.86,4.0
7.46,44.07,4.0
2.7,10.95,4.0
13.38,74.77,4.0
4.83,27.48,4.0
14.08,69.29,4.0
12.57,67.44,4.0
6.9,33.98,4.0
0.9,5.13,4.0
19.99,100.61,4.0
12.85,68.25,4.0
0.14,3.53,4.0
14.95,78.54,4.0
7.67,38.19,4.0
0.88,1.65,4.0
4.26,19.09,4.0
17.99,92.69,4.0
3.95,22.74,4.0
1.82,12.94,4.0
4.21,20.4,4.0
19.86,98.3,4.0
12.59,64.7,4.0
11.34,57.4,4.0
10.81,50.87,4.0
17.15,89.37,4.0
10.68,51.2,4.0
13.32,64.77,4.0
16.03,87.85,4.0
19.04,100.02,4.0
0.76,-0.3,4.0
5.39,28.86,4.0
15.32,80.14,4.0
11.55,60.05,4.0
7.39,44.7,4.0
13.63,72.83,4.0
12.34,61.09,4.0
6.41,26.26,4.0
14.52,74.3,4.0
4.47,33.25,4.0
17.2,97.73,4.0
0.56,1.19,4.0
12.41,65.25,4.0
13.05,63.18,4.0
13.18,75.01,4.0
16.02,83.66,4.0
6.74,36.81,4.0
0.19,7.79,4.0
17.03,81.55,4.0
15.94,80.48,4.0
10.25,58.9,4.0
17.42,85.55,4.0
8.1,41.63,4.0
16.88,90.57,4.0
14.52,81.29,4.0
12.59,61.22,4.0
19.65,99.01,4.0
19.62,104.56,4.0
17.34,90.14,4.0
7.24,34.95,4.0
0.33,-2.64,4.0
17.61,83.2,4.0
0.82,15.1,4.0
6.95,40.08,4.0
5.51,25.44,4.0
19.99,106.51,4.0
4.52,17.6,4.0
5.59,27.81,4.0
7.11,42.33,4.0
1.62,15.16,4.0
11.02,53.87,4.0
1.4,11.87,4.0
12.25,62.51,4.0
1.37,7.92,4.0
17.29,87.41,4.0
19.15,95.11,4.0
7.62,36.3,4.0
12.09,63.05,4.0
8.06,38.27,4.0
16.21,86.8,4.0
1.98,13.09,4.0
19.3,105.78,4.0
17.39,89.31,4.0
10.66,58.55,4.0
12.81,66.97,4.0
16.1,92.14,4.0
9.79,52.22,4.0
6.14,30.98,4.0
3.59,22.13,4.0
14.68,81.65,4.0
13.89,75.57,4.0
10.54,55.48,4.0
18.44,98.57,4.0
5.42,29.43,4.0
5.92,35.6,4.0
5.96,36.41,4.0
6.99,41.8,4.0
13.93,77.6,4.0
2.63,17.29,4.0
12.88,66.3,4.0
13.96,68.69,4.0
0.22,1.49,4.0
4.38,27.05,4.0
0.52,11.49,4.0
5.67,32.13,4.0
2.38,12.94,4.0
5.6,30.76,4.0
11.74,68.28,4.0
0.56,9.69,4.0
0.62,9.14,4.0
12.54,70.93,4.0
12.29,66.63,4.0
6.01,33.63,4.0
7.15,39.5,4.0
11.19,57.6,4.0
8.15,39.89,4.0
2.47,13.38,4.0
19.62,100.11,4.0
18.46,102.02,4.0
16.92,83.43,4.0
0.4,5.92,4.0
1.85,11.7,4.0
